Drittmittelgeber/ Funder;Förderkennzeichen;Call ;Kurztitel/ Acronym;Titel des Projekts/ Title ;Website;Projektbeginn;Projektende;Betreut durch Organisationseinheit ;Interne Projektnr.;Status;Publik
Leibniz-Gemeinschaft;;Leibniz-Wettbewerb-2020:  Leibniz-Transfer;LeiCord;Leibniz Conference Recording Service;;;;C. NTM;;Rejected;
EU;;NGI_Ledger_Open_Call_Human_Centric_Innovators;ISCC;Democratization of content-identification and fingerprinting technologies;;;;C. OSL;;Rejected;
DFG;SE 1827/19-1;"DFG LIS ""Fachinformationsdienste für die Wissenschaft""";FID Baudigital;FID Bauingenieurwesen, Architektur und Urbanistik digital;;01.07.2020;30.06.2023;A. W-Dienst;51000064;Accepted;Ja
DFG;SE 1827/19-1;"DFG LIS ""Fachinformationsdienste für die Wissenschaft""";FID Baudigital;FID Bauingenieurwesen, Architektur und Urbanistik digital;;01.07.2020;30.06.2023;C. E;51000064;Accepted;Ja
DFG;SE 1827/19-1;"DFG LIS ""Fachinformationsdienste für die Wissenschaft""";FID Baudigital;FID Bauingenieurwesen, Architektur und Urbanistik digital;;01.07.2020;30.06.2023;C. OSL;51000064;Accepted;Ja
Leibniz-Gemeinschaft;;Leibniz-Wettbewerb-2020:  Leibniz Best Minds: Junior Research Groups;COMPASS;Investigating learner self-reflection and goal directed achievement through customized, dynamic and labour market oriented learning trajectories;;;;C. DSDL;;Rejected;
DFG;SE 1827/19-1;"DFG LIS ""Fachinformationsdienste für die Wissenschaft""";FID Baudigital;FID Bauingenieurwesen, Architektur und Urbanistik digital;;01.07.2020;30.06.2023;C. VA;51000064;Accepted;Ja
EU;;ECSEL-RIA-2019-2-Special-Topic-2;BRAINE;Big data pRocessing and Artificial Intelligence at the Network Edge;;01.04.2020;30.03.2023;C. DSDL;20190012;Accepted;
EU;2019-EU-IA-0022;CEF-TC-2019-1 Europeana;EuropeanaXX;EuropeanaXX: Century of Change;;01.03.2020;30.11.2021;C. NTM;57000012;Accepted;Ja
MWK;27-040 32 / 83-1;;OER - Portal Niedersachsen;Open Educational Ressources (OER) - Portal Niedersachsen;;01.08.2019;31.07.2023;C. E;56000013;Accepted;
MWK;27-040 32 / 83-1;;OER - Portal Niedersachsen;Open Educational Ressources (OER) - Portal Niedersachsen;;01.08.2019;31.07.2023;C. NTM;56000013;Accepted;Ja
BMBF;;Anwendung von Methoden der Künstlichen Intelligenz in der Praxis;ALMA;ALMA: Autonomes Lernen zur Medien-Analyse;;01.01.2020;31.12.2021;C. VA;;Rejected;
BMBF;;Anwendung von Methoden der Künstlichen Intelligenz in der Praxis;ALMA;ALMA: Autonomes Lernen zur Medien-Analyse;;01.01.2020;31.12.2021;C. NTM;;Rejected;
BMBF;;Anwendung von Methoden der Künstlichen Intelligenz in der Praxis;MM4SPA;MM4SPA:  Multimodale Analyse für Sports Analytics;;01.08.2020;31.07.2022;C. VA;20200016;Accepted;
Wellcome Trust;;Open Research Fund;;Open Research Knowledge Graph for the Web Editor Software Community;;;;C. OSL;;Rejected;
VW Stiftung;;Experiment! – Auf der Suche nach gewagten Forschungsideen;PredictME;PredictME: A New Era of HealthCare with the Support of Knowledge-driven Medicine;;;;C. SDM;;Rejected;
BMBF;;kein (nach Aufforderung);;Entwicklung und Implementierung einer Forschungsfeldklassifikation im Rahmen des KDSF;;;;C. OSL;;Rejected;
BMBF;;https://www.technik-zum-menschen-bringen.de/foerderung/bekanntmachungen/meki;EDDI;Erschließen technischer und wissenschaftlicher Daten durch Domänenexperten und KI;;;;C. DSDL;;Rejected;
VW Stiftung;;Künstliche Intelligenz – Ihre Auswirkungen auf die Gesellschaft von morgen;;Creating a common ground: Exploring pathways to interdisciplinary research on AI for meaningful learning in biology education;;01.04.2020;31.03.2021;C. VA;;Rejected;
BMBF;01PH20001A;Qualitätsentwicklungen in der Wissenschaft: Untersuchungen zur Meso-Ebene;TAPIR;TeilAutomatisiertes Persistent-Identifier-basiertes Reporting;https://projects.tib.eu/tapir;01.08.2020;31.12.2022;C. OSL;53000016;Accepted;ja
DFG;;LIS - Infrastruktur für elektr. Publikationen und dig. Wiss. Komm. ;KORI;Knowledge Graph of Research Illustrations ;;;;C. OSL;;Rejected;
DFG;;LIS - Infrastruktur für elektr. Publikationen und dig. Wiss. Komm. ;KORI;Knowledge Graph of Research Illustrations ;;;;C. VA;;Rejected;
BMBF;;https://www.bmbf.de/foerderungen/bekanntmachung-2448.html;DENC;Digitalisierung Encyclopaedia Cinematographica;;01.01.2020;31.12.2021;A. BuL;;Rejected;
EU;;H2020 INNOSUP-07-2019 European Open Innovation Network in Advanced Technologies;EOIH;European Open Innovation Hub;;;;C. DSDL;;Rejected;
BMG;;Smarte Datennutzung;SmartInCirrhosis;Smarte Datennutzung/Framework zur Optimierung der Behandlungsicherheit- und -qualität von PatientInnen mit dekompensierter Leberzirrhose;;;;C. SDM;;Rejected;
BMG;;Smarte Datennutzung;FluGraph;Nutzung von Wissensgraphen zur Identifizierung von Risikoprofilen,  prädiktiven Scores und Biomarkern für ein Versagen der Grippeimpfung bei Senioren;;;;C. SDM;;Rejected;
BMG;;Smarte Datennutzung;BESS;Big Data-basiertes Entscheidungsunterstützungs System für die Schlaganfallsekundärprophylaxe;;;;C. SDM;;Rejected;
Chan Zuckerberg Initiative;;Request for Applications: Essential Open Source Software for Science;;"Knowledge Graphs of Open Peer Review in Big Data AI
& Personalised Medicine";;;;C. OSL;;Rejected;
Bundeskulturstiftung;;;Coding da Vinci (Niedersachsen);Coding da Vinci Niedersachsen 2020;;01.04.2020;31.01.2021;C. OSL;59000031;Accepted;
DFG;AU 340/17-1 ;LIS / e-Research Technologies;LDM-Explore;"Leibniz Data Manager -
A tool to search and explore digital artefacts across different
repositories and evaluate their potential for re-use";;02.08.2020;01.08.2022;C. NTM;51000066;Accepted;Ja
DFG;VI 1050/3-1;LIS / e-Research Technologies;LDM-Explore;"Leibniz Data Manager -
A tool to search and explore digital artefacts across different
repositories and evaluate their potential for re-use";;02.08.2020;01.08.2022;C. SDM;51000067;Accepted;ja
EU;CA19117;COST COLLECTION OC-2019-1;ReMO;Researcher Mental Health Observatory;;01.10.2020;30.09.2024;C. DSDL;57000016;Accepted;
Leibniz-Gemeinschaft;;Leibniz-WissenschaftsCampi;TrustAl;Responsible Artificial Intelligence ;;01.04.2020;31.03.2024;C. DSDL;;Rejected;
BMBF;16KUV004;Kompetenz- und Vernetzungsplattform im Bereich Open Access;open-access-network;"open-access.network - Kompetenz- und Vernetzungsplattform im Bereich Open Access; Teilvorhaben: Materialien – Online-Fortbildung – Foren – Analysen";;01.12.2019;30.11.2022;B. PD;53000014;Accepted;
Bundeskulturstiftung;;;Coding da Vinci (Niedersachsen);Coding da Vinci Niedersachsen 2020;https://codingdavinci.de/events/niedersachsen/;01.05.2020;31.01.2021;C. OSL;53000020;Accepted;ja
EU;;RTD/2019/OP/006: Open Research Europe;AAFF - Open Research Europe;;;;;B. PD;;Rejected;
EU;;H2020-MSCA-IF-2019;SciDoc2KG;Extracting Semantics from Scientific Documents into a Knowledge Graph;;;;C. DSDL;;Rejected;
MWK;14-55 026-2020;;Sammlung Haupt;Restaurierungs- und Konservierungsmaßnahmen im Buch- und Graphikbestand der Sammlung Albrecht Haupt ;;01.01.2020;31.12.2020;A. BuL;56000014;Accepted;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Chem;Chemistry Consortium in the NFDI;;01.10.2020;30.09.2025;C. DSDL;51000069;Accepted;ja
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Ing;Nationale Forschungsdateninfrastruktur für die Ingenieurwissenschaften;;01.10.2020;30.09.2025;C. NTM;51000068;Accepted;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Ing;Nationale Forschungsdateninfrastruktur für die Ingenieurwissenschaften;;01.10.2020;30.09.2025;C. DSDL;51000068;Accepted;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Ing;Nationale Forschungsdateninfrastruktur für die Ingenieurwissenschaften;;01.10.2020;30.09.2025;A. W-Dienst;51000068;Accepted;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Culture;Nationale Forschungsdateninfrastruktur for Culture;https://nfdi4culture.de/;01.10.2020;30.09.2025;C. OSL;51000070;Accepted;ja
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;PAHN PaN;;;;;;;Rejected;
DFG;;"DFG Schwerpunktprogramm ""Digitalisierung der Arbeitswelten""";DynaJob;DynaJob - Job analysis and job decomposition for human-machine working environments;;;;C. DSDL;;Rejected;
EU;;ERC-2020-STG;RESILIENT;Redesign Lifelong Learning through Individual, Dynamic and Labour Market Oriented Learning Trajectories;;;;C. DSDL;;Rejected;
VW Stiftung;;www.volkswagenstiftung.de/unsere-foerderung/unser-foerderangebot-im-ueberblick/kuenstliche-intelligenz-ihre-auswirkungen-auf-die-gesellschaft-von-morgen;RESPECT;Respecting Heterogeneity: Potential and Risks of Artificial Intelligence in Classroom Practice;;01.01.2021;31.12.2024;C. VA;;Rejected;
DFG;EW 134/12-1;LIS E-Research;TIBAVA;"""TIB AV Analytics“ - Entwicklung einer Softwareplattform für die systematische Film- und Videoanalyse";;01.10.2020;30.09.2023;C. NTM;51000071;Accepted;
DFG;EW 134/12-1;LIS E-Research;TIBAVA;"""TIB AV Analytics“ - Entwicklung einer Softwareplattform für die systematische Film- und Videoanalyse";;01.10.2020;30.09.2023;C. VA;51000072;Accepted;
EU;;Europeana Research Grants Programme 2019;Towards 3D Interoperability;Towards interoperability and sustainability in 3D datasets;;;;C. OSL;;Rejected;
EU;;Europeana Research Grants Programme 2019;;;;;;C. NTM;;Rejected;
EU;;Actionproject Open Call;;;;;;C. OSL;;Rejected;
EU;;INFRADEV-01-2019-2020 Design Studies;Nanoworld Maps;Nanoworld Maps;;;;C. OSL;;Rejected;
EU;;DT-ICT-05-2020 Big Data Innovation Hubs;DIAMOND;Data Intelligence Hubs for IncubAtion and ExperiMentation of EurOpean Circular EcoNomy Big Data Driven Value Networks;;;;C. DSDL;;Rejected;
EU;951962;DT-ICT-05-2020 Big Data Innovation Hubs;MediaFutures;MediaFutures, Data-driven innovation hub for the media value chain;;01.09.2020;31.08.2023;C. DSDL;20200013;Accepted;
BMBF;;Zukunftscluster-Initiative;Zero Waste Production Hannover;Zero Waste Production Hannover;;;;C. E;;Rejected;
MWK;15-76251-1-19/19;Europa-Programm des MWK / Niedersächsisches Vorab;;Digitisation of Cultural Heritage and its innovative Usage;;10.12.2019;31.03.2020;C. NTM;20190006;Accepted;
BMBF;;https://www.bmbf.de/foerderungen/bekanntmachung-2475.html;SoveRIs;Self-Sovereign Identity in Research Infrastructure;;;;C. OSL;;Rejected;
EU;;DT-NMBP-40-2020 Creating an open market place for industrial data (RIA) ;Emporia;Federated Marketplace for Industrial Data;;;;C. DSDL;;Rejected;
MWK;;Pro*Niedersachsen – Kulturelles Erbe – Sammlungen und Objekte;;Orte des Gestapoterrors im heutigen Niedersachsen;;01.10.2020;30.09.2022;C. OSL;56000017;Accepted;ja
MWK;;Pro*Niedersachsen – Kulturelles Erbe – Sammlungen und Objekte;FEIGE;FEIGE - Erforschung und Erschließung der Fotografischen Sammlung zum ehemaligen IWF-Gebäude;;01.10.2020;30.09.2022;C. NTM;;Rejected;
BMBF;01IO2002B ;Innovationsorientierung und Transfer;TextTransfer II;TextTransfer II - Methode zur korpusgestützten Prognose von Impactmustern in wissenschaftlichen Texten - Telvorhaben Implementierung und Praxis im Anwendungsfall Bibliothekswesen ;;01.06.2020;31.05.2023;C. OSL;53000018;Accepted;ja
BMBF;01IO2004A;Innovationsorientierung und Transfer;ExpResViP;Verwertung von Forschungsergebnissen durch visuelles Patentretrieval;;01.08.2020;31.07.2023;C. VA;53000019;Accepted;Ja
BMBF;01IO2004A;Innovationsorientierung und Transfer;ExpResViP;Verwertung von Forschungsergebnissen durch visuelles Patentretrieval;;01.08.2020;31.07.2023;C. NTM;53000019;Accepted;Ja
BMBF;;Nachwuchsforschungsgruppen in der empirischen Bildungsforschung;GoLLQ;Governance von Lehre und ihr Einfluss auf Lehrqualität (GoLLQ);;;;C. DSDL;;Rejected;
EU;;MSCA-ITN-2020 Innovative Training Networks;SmartSkills;AI Driven, Dynamic Job Reconfiguration for Optimal Human-Machine Collaboration in Industry 4.0;;;;C. DSDL;;Rejected;
EU;;MSCA-ITN-2020 Innovative Training Networks;LATITUDE;Leadership development in ArTificial Intelligence To Understand and Drive 21st century Education;;;;C. DSDL;;Rejected;
EU;0435b619851e427f2f1ebfad;LedgerProject 2nd Open Call;ConDidi;Full lifecycle decentralized Conference participant management;https://projects.tib.eu/condidi/;15.09.2020;14.09.2021;C. OSL;57000013;Accepted;ja
BMBF;;Digitalisierung der Materialforschung in Deutschland – MaterialDigital;ONTOFLOW;Ontologische Verarbeitung Workflow-basierter materialwissenschaftlicher Simulationsdaten;;;;C. DSDL;;Rejected;
BMBF;13XP5126B;Digitalisierung der Materialforschung in Deutschland – MaterialDigital;DIGITRUBBER;DIGITALE KAUTSCHUKVERABEITUNG - Am Beispiel Extrusion - Teilvorhaben TIB: Ontologie und semantische Methoden für Kautschukextrusion;;01.04.2021;31.03.2024;C. DSDL;53000027;Accepted;
BMBF;;Digitalisierung der Materialforschung in Deutschland – MaterialDigital;DigiPEM;Digitalisierung der Protonenaustausch-Membransynthese für die Wasserelektrolyse;;;;C. DSDL;;Rejected;
BMBF;;Digitalisierung der Materialforschung in Deutschland – MaterialDigital;DiAl-MMC;Digitale Aluminium-basierte Metal-Matrix Composites;;;;C. NTM;;Rejected;
BMBF;;Digitalisierung der Materialforschung in Deutschland – MaterialDigital;Bio2Bit;Digitalisierung Biokunstoffforschung - anwendungsorientierte Betrachtung von experimentellen und Simulationsdaten in Spritzgießverfahren;;;;C. DSDL;;Rejected;
EU;;DT-NMBP-39-2020 Towards Standardised Documentation of Data through taxonomies and ontologies (CSA);Stentorian;STandardisEd oNTologies fOR Industrial cooperAtioN;;;;C. DSDL;;Rejected;
EU;;ERC-2020-COG European Research Council Consolidator Grant;SIMM;Subjective Interpretation of Multimodal Information;;;;C. VA;;Rejected;nein
BMBF;;"Wettbewerb innerhalb des Projektes ""KI-Campus – Die Lernplattform für Künstliche Intelligenz""";;Micro-Degree: AI-Consultant;;01.07.2020;30.06.2021;C. DSDL;;Rejected;
VW Stiftung;;Niedersächsisches Vorab: Die digitale Gesellschaft;;On the Road to Open Science: Opportunities and Challenges;;01.01.2021;31.12.2023;C. NTM;;Rejected;
VW Stiftung;;Niedersächsisches Vorab: Die digitale Gesellschaft;;The Digitization of the Workplace and ist Effects on the Governance of Higher Education;;01.01.2021;31.12.2023;C. DSDL;;Rejected;
Leibniz-Gemeinschaft;;Leibniz-Forschungsverbünde 2021;;Leibniz Research Alliance Open Science;;;;C. OSL;;Rejected;
EU;;Enhancing Access and Uptake of Education to Reverse Inequalities (RIA) Transformations-22-2020;PRIDE;PeRsonalized Inclusive Digital Education;;;;C. DSDL;;Rejected;
VW Stiftung;;Originalitätsverdacht? Förderlinie 2_Konstellationen;;Science and Film Studies: Wissen im Bewegtbild;;;;C. NTM;;Rejected;Ja
EU;;Enhancing Access and Uptake of Education to Reverse Inequalities (RIA) Transformations-22-2020;Skim AI;Skill Matching based on Artificial Intelligence;;;;C. DSDL;;Rejected;
EU;;Leverhulme Doctoral Fellowships;Knowledge4HUBRIS;Power and Hubris - Investigating the relationship between power, behavior and hubris;https://www.leverhulme.ac.uk/;01.02.2021;31.01.2024;C. SDM;;Accepted;
MWK;27 – 04032 / 83 – 1 (2020);2. Säule_Teil 1;OER - Portal Niedersachsen;Open Educational Ressources (OER) - Portal Niedersachsen;;01.04.2020;30.06.2023;C. NTM;56000015;Accepted;ja
MWK;27 – 04032 / 83 – 1 (2020);2. Säule_Teil 1;OER - Portal Niedersachsen;Open Educational Ressources (OER) - Portal Niedersachsen;;01.04.2020;30.06.2023;ZA. WuA;56000015;Accepted;
MWK;;2. Säule_Teil 2;OER - Portal Niedersachsen;Open Educational Ressources (OER) - Portal Niedersachsen;;01.09.2020;31.07.2023;C. NTM;56000016;Accepted;
Mozilla Fund;;Mozilla COVID-19 Solutions Fund;;Contact Tracing & Tracking - Rapid Collaborative Health Publishing;;;;C. OSL;;Rejected;
EU;2020-1-DE01-KA203-005713;ERASMUS+ Strategic Partnerships Knowledge Alliances ;OSCAR;Online, open learning recommendations and mentoring towards Sustainable research CAReers;;01.09.2020;30.08.2023;C. DSDL;57000015;Accepted;
Leibniz-Gemeinschaft;;Leibniz-Wettbewerb 2021;TrustKG;"Knowledge Graph based Semantic Integration, Representation, and
Curation of Scientific Data for Trustable and Interpretable
Knowledge Exploration and Discovery";;01.08.2021;31.07.2027;C. SDM;54000007;Accepted;
Leibniz-Gemeinschaft;;Leibniz-Wettbewerb 2021;SCHOKNEX;Scholarly Knowledge Exchange: An interoperability framework for greater efficiency of Open Science in agricultural sciences;;;;C. DSDL;;Rejected;
EU;;FSTP Pilot Projects Open Call 1;ELG4Cov19Schemas;Leveraging the European Language Grid for COVID19 Scholarly Contribution Schemas Semantified as the Open Research Knowledge Graph;;;;C. DSDL;;Rejected;
EU;101007312;ECSEL-2020-4-CSA Digital Excellence;SC3;Semantically Connected Semiconductor Supply Chains;;01.01.2021;31.12.2023;C. DSDL;57000014;Accepted;
BMBF;;Förderung von Forschungsprojekten mit Tunesien unter der Beteiligung von Wissenschaft und Wirtschaft (TUNGER 2+2);HEALTH4ALL;Public Health Knowledge and Technology Transfer 2+2;;01.01.2021;31.12.2022;C. OSL;;Rejected;
DFG;SE 1827/8-2;LIS / Überregionale Lizenzierung;;Erwerb von Allianz-Lizenzen an der TIB – DETAIL inspiration (Fortsetzung);;01.01.2021;31.12.2023;A. Ref. L;51000075;Accepted;
BMBF;;Digitale Hochschulbildung, Förderlinie 4, Skizzenphase;eVIDenz;Evidenz- und KI-basierte Aufbereitung, Erschließung und Empfehlung von Lehr-/Lernvideos;;01.04.2021;31.03.2024;C. VA;;Rejected;
DFG;SE 1827/21-1;LIS - Überregionale Lizenzierung, Ausschreibung Open-Access-Transformationsverträge;;SPIE Digital Library mit Open-Access-Transformation der Zeitschriften (Neuantrag);;01.01.2021;31.12.2023;A. Ref. L;;Rejected;
BMBF;;Digitale Hochschulbildung, Förderlinie 4, Skizzenphase;DynaJob;"Personalisierte, Dynamische Curriculum Entwicklung für Studenten in der Hochschulbildung, auf Basis von individuellen
Job- und Fertigkeitsambitionen";;01.10.2020;30.09.2023;C. DSDL;;Rejected;
DFG;SE 1827/10-2 ;DFG LIS - Fachinformationsdienste für die Wissenschaft;FID move (Fortsetzungsantrag);Fachinformationsdienst Mobilitäts- und Verkehrsforschung (FID move);;01.01.2021;31.03.2024;A. W-Dienst;51000073;Accepted;
DFG;SE 1827/22-1 ;DFG LIS - Fachinformationsdienste für die Wissenschaft;FID Materials Science;Fachinformationsdienst Materialwissenschaft und Werkstofftechnik - FID Materials Science;;01.06.2021;30.05.2024;A. W-Dienst;51000074;Accepted;
DFG;SE 1827/20-1;LIS / Überregionale Lizenzierung;;Erwerb von Allianz-Lizenzen an der TIB – The Royal Society London Journals (Neuantrag);;01.01.2021;31.12.2023;A. W-Dienst;;Rejected;
Robert Bosch Stiftung;;Wissenschaftskommunikation für die Gesellschaft: Corona und darüber hinaus;;Pilot Translation system for a Global Books Sprint on COVID-19 Tracking and Tracing;;;;C. OSL;;Rejected;
VW Stiftung;;Corona Crisis and Beyond – Perspectives for Science, Scholarship and Society;OnMedia;Online Mediatization of COVID-19 Scientific Results;;;;C. OSL;;Rejected;
EU;;SC1-DTH-12-2020 Use of Real-World Data to advance research on the management of complex chronic conditions;DRASSIS;;;;;C. SDM;;Rejected;
EU;;SC1-DTH-12-2020 Use of Real-World Data to advance research on the management of complex chronic conditions;ADAGIO;reAl worlD dAta to improve management of oncoloGy patients with chronIc cOndition;;;;C. SDM;;Rejected;
VW Stiftung;;Corona Crisis and Beyond – Perspectives for Science, Scholarship and Society;;Online Book Sprints for the Rapid Publishing of Training Textbooks and OER for COVID-19 Contact Tracing;;;;C. OSL;;Rejected;
VW Stiftung;;Corona Crisis and Beyond – Perspectives for Science, Scholarship and Society;;"Assessing Science-related Claims in Videos from Social Media using Research Knowledge
Graphs - A COVID-19 Showcase";;;;C. VA;;Rejected;
VW Stiftung;;Corona Crisis and Beyond – Perspectives for Science, Scholarship and Society;;Mining Tacit Professional Knowledge on Global Pandemics;;;;C. VA;;Rejected;
EU;;SC1-PHE-CORONAVIRUS-2020-2B Medical technologies, Digital tools and Artificial Intelligence (AI) analytics to improve surveillance and care at high Technology Readiness Levels (TRL) ;Knowledge4COVID-19;Knowledge-driven technologies for enhancing the understanding of COVID-19;;;;C. SDM;;Rejected;
EU;;SC1-DTH-02-2020 Personalised early risk prediction, prevention and intervention based on Artificial Intelligence and Big Data technologies;mFatigue;Mobile Technology for Personalized Early Risk Prediction, Prevention and Intervention Based on Objective Fatigue Assessment;;;;C. DSDL;;Rejected;
EU;;FETPROACT-EIC-07-2020_Future_and_Emerging_Technologies;SAIERA;Social Artificial Intelligence to Enable Rapid Adaptation;;;;C. DSDL;;Rejected;
BMBF;01PU17019;WiHo-Forschung - Quantitative Wissenschaftsforschung;ROSI II;Referenzimplementierung für offene szientometrische Informationen;;01.10.2020;30.09.2021;C. OSL;;Rejected;
BMBF;16TOA028A;Beschleunigung der Transformation zu Open Access;OPTIMETA;"Stärkung des Open-Access-Publikationssystems durch offene Zitationen und
raumzeitliche Metadaten";;01.02.2021;31.01.2023;C. OSL;53000021;Accepted;ja
BMBF;;Beschleunigung der Transformation zu Open Access;OAWIS;Open Access zu FAIR Wissenschaftlichem Wissen;;01.02.2021;31.01.2023;C. DSDL;;Rejected;
BMBF;;Beschleunigung der Transformation zu Open Access;Konf4OA;"Konferenzveröffentlichungen in den Ingenieurwissenschaften durch Open Access sichtbar und
verfügbar machen";;01.02.2021;31.01.2023;A. EuK;;Rejected;
BMBF;16TOA039A;Beschleunigung der Transformation zu Open Access;KOALA;Konsortiale Open-Access-Lösungen aufbauen;;01.02.2021;31.01.2023;B. PD;53000022;Accepted;
BMBF;16TOA034A;Beschleunigung der Transformation zu Open Access;BiSON;"Bibliometric and Semantic
Open Access Recommender Network";;01.02.2021;31.01.2023;B. PD;53000023;Accepted;
BMBF;16TOA034A;Beschleunigung der Transformation zu Open Access;BiSON;"Bibliometric and Semantic
Open Access Recommender Network";;01.02.2021;31.01.2023;C. VA;53000023;Accepted;
MWK;;"Nieders. Vorab: ""Digitalisierung in den Naturwissenschaften""";DigiSpecies;"Digispecies: Digitization of plant and animal species occurrence
records for documenting the extent of biodiversity loss";;01.02.2021;31.01.2024;C. DSDL;56000019;Accepted;
EU;;LC-SC3-EC-5-2020 Supporting public authorities in driving the energy transition;BUMBLEBEE;Data Driven Innovation Hub for Energy Efficiency Implementation Measures;;;;C. DSDL;;Rejected;
BMBF;21INVI2101;„INVITE – Innovationswettbewerb Digitale Plattform berufliche Weiterbildung“;WB smart;Bildungswissenschaftliche Grundlegung eines smarten KI-basierten digitalen Weiterbildungsraums für die Altenhilfe mittels personalisierter Empfehlungssysteme;;01.09.2021;31.08.2024;C. DSDL;53000032;Accepted;
BMBF;21INVI0501;„INVITE – Innovationswettbewerb Digitale Plattform berufliche Weiterbildung“;ADAPT;Implementierung eines adaptiven Lernunterstützers für Pflege im betrieblichen Transformationsprozess;;01.05.2021;30.04.2024;C. DSDL;53000028;Accepted;
EU;;ERC-2020-POC European Research Council - Proof of Concept;ORKG;Facilitating the Transfer of Research Results with the Open Research Knowledge Graph;;;;C. DSDL;;Rejected;
Leibniz-Gemeinschaft;Strategiefonds-2021-TIB-Fortführung OA-Publikationsfonds Zeitschriften;Leibniz-Wettbewerb (Strategiefonds);OA-Publikationsfonds Zeitschriften ;Fortführung des Open-Access-Publikationsfonds für Zeitschriften;;01.01.2021;31.12.2024;A. Ref. L;54000008;Accepted;
BMBF;;"Erkennen und Bekämpfung von digitalen Desinformationskampagnen; Förderrichtlinie „Forschung Agil""";WIDER-Q;"Unterstützung der Bewertung von Videoinhalten durch Kennzeichnung von Widersprüchen und
Quelleninformationen";;01.04.2021;31.03.2024;C. VA;;Rejected;
BMBF;;"Erkennen und Bekämpfung von digitalen Desinformationskampagnen; Förderrichtlinie „Forschung Agil""";FEAR;Interdisziplinäre Analyse der Muster und Wechselwirkungen bei der Manipulation der öffentlichen Meinung durch den Einsatz von Angst-Narrativen in den Medien;;01.04.2021;31.03.2024;C. VA;;Rejected;
BMBF;;"Erkennen und Bekämpfung von digitalen Desinformationskampagnen; Förderrichtlinie „Forschung Agil""";FakeNarratives;Narrative der Desinformation verstehen: ein Vergleich zwischen öffentlich-rechtlichen und alternativen Nachrichtenvideos;;01.10.2021;30.09.2024;C. VA;20210018;Accepted;
DFG;;Emmy Noether Programm;RESILIENT;Redesign Lifelong Learning through Individual, Dynamic and Labour Market Oriented Learning Trajectories ;;;;C. DSDL;;Rejected;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;PUNCH4NFDI ;Big Data Physics;;01.04.2021;31.03.2024;C. DSDL;;Accepted;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Objects;NFDI for Archaeology, Material Culture and Objects ;;;;C. NTM;;Accepted;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Microbiota;;;01.04.2021;31.03.2024;C. NTM;;Accepted;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Earth;Earth System Sciences;;01.10.2021;31.12.2026;C. DSDL;51000078;Accepted;
DFG;;Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4DataScience;NFDI for Data Science and Artificial Intelligence;;01.10.2021;30.09.2026;C. DSDL;51000077;Accepted;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;FairMat;"FAIRe Dateninfrastruktur 
für die Physik der kondensierten Materie 
und die chemische Physik fester Stoffe";;;;C. DSDL;;Accepted;
BMBF;16PGF0287;"Open Access-Publikationen
aus abgeschlossenen BMBF-geförderten Projekten (Post-Grant-Fund)";International Conferences of Bibliometrics;International Conferences of Bibliometrics;;24.02.2021;31.08.2021;C. OSL;53000025;Accepted;
BMBF;16PGF0288;"Open Access-Publikationen
aus abgeschlossenen BMBF-geförderten Projekten (Post-Grant-Fund)";Eigenfactor;Eigenfactor;;24.02.2021;31.08.2021;C. OSL;53000026;Accepted;
BMBF;16PGF0289;"Open Access-Publikationen
aus abgeschlossenen BMBF-geförderten Projekten (Post-Grant-Fund)";The h-index;The h-index;;24.02.2021;31.08.2021;C. OSL;53000024;Accepted;
MWK;14-55 026-2021;;Sammlung Haupt;Restaurierung und Konservierung des Buchbestandes der Sammlung Albrecht Haupt ;;01.01.2021;31.12.2021;A. W-Dienst;56000018;Accepted;
BMBF;;Unterstützung anwendungsorientierte Forschung für AUF, Projekte in Zukunftsfeldern der anwendungsorientierten Forschung;ORKG-Transfer;"Beschleunigung des Transfer von Forschungsergebnissen mit dem Open Research Knowledge
Graph";;01.01.2021;31.12.2021;C. DSDL;;Rejected;
BMBF;;Ralf-Dahrendorf-Preis;IASIS;;;;;C. SDM;;Rejected;
Klaus Tschira Stiftung;;Klaus Tschira Boost Fund;;Tackling Online Misinformation using Multimodal Data Analytics;;01.04.2021;30.06.2022;C. VA;;Rejected;
DFG;;Internationale Zusammenarbeit - Tagungsförderung;BIS2021;24. International Conference on Business Information Systems (BIS) ;https://bisconf.org/;15.06.2021;17.06.2021;C. DSDL;51000076;Accepted;
